Company Name,Stock Code,Report Date,Beg.Amt,End.Amt,Investment Return,Currency Derivative?end value?,Commodity/Index Futures(end),Interest Derivative (end),Cashflow Hedge,Equity Options,Derivative Usage Dummy,oversea 
??????????,1,20071231,5090000,38288000,,10924.4,1482.337,170,,,,
??????????,1,20081231,38288000,201067000,,18974.58,1270,1270000,,,,
??????????,1,20091231,200986000,-153387000,,20137.07,-,800,,,,
??????????,1,20101231,-153387000,-18527000,,47535,-,2300,,,,
??????????,1,20111231,-18527000,6714000,,109552,,13256,,,,
??????????,1,20121231,6714000,-63765000,,153193,2,25832,,,,
??????????,1,20131231,-64000000,468000000,,385406,16360,53759,,,,
??????????,1,20141231,-325000000,401000000,,494841,39435,217175,,,,
??????????,1,20151231,401000000,1085000000,,677816,139721,640328,,,,
??????????,2,20091231,0,0,,,,4.626106,,,,
??????????,2,20101231,0,0,,,,12.491094,,,,
??????????,2,20111231,0,0,,,,30.798799,,,,
??????????,2,20121231,0,0,,,,25.537987,,,,
??????????,2,20131231,-,-,,-,-,18.281555,,,,
??????????,2,20141231,-572042.22,11013281.97,,19.88675,,0,,,,
??????????,2,20151231,11013281.97,0,,19.88675,,,,,,
??????????,16,20071231,0,8293387.77,,1032.23514,,,,,,
??????????,16,20081231,-17249624.92,-12481880.16,,1221.225627,0,0,,,,
??????????,16,20091231,4767744.76,16155044.16,,2854.3565,,,,,,
??????????,16,20101231,16155044.16,-68630285.86,,3730.957366,,,,,,
??????????,16,20111231,-68630285.86,42855947.89,,2155.905808,,,,,,
??????????,16,20121231,42855947.89,22101173.97,,0,,,,,,
??????????,16,20151231,0,32591836.13,,2247.1277,,,,,,
?????????????,32,20131231,0,60400,,28.2074,,,,,,
?????????????,32,20141231,60400,-169406.13,,33.0426,,,,,,
?????????????,32,20151231,-169406.13,109006.13,,7.9547,,,,,,
?????????(??)??????,39,20061231,,,,1894803657,,,,,,
?????????(??)??????,39,20071231,2708000,203969000,,1801.97437,yes,yes,,,,
,39,20081231,203969000,283208000,,3110.437928,3595.83705,2663583000,,,,
?????????(??)??????,39,20091231,283208000,-65159000,,3985.581654,yes,2172.069289,,,,
?????????(??)??????,39,20101231,-65159000,76841000,,5110.632148,yes,2370.373304,,,3430.056485,
